PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeRequestRejectedSuccessfully,14/09/2016,Change Request Rejected Successfully.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileChangeRequestReject,14/09/2016,Error Occured While Change Request Reject.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_ChangeOrderSend_To_Supplier,14/09/2016,Change Order Sent To Supplier.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Send_To_Buyer,14/09/2016,Send To Buyer
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CommentsAndAttachments,07/09/2016,Comments
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_UnableToCreateInvoice,20/9/2016,Unable To Create Invoice
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CreateInvoiceError,20/9/2016,An internal error occurred while creating the invoice. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_CreateInvoiceSuccessfully,21/9/2016,The Invoice is created.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ManufacturerModelNumber,31/08/2016,Manufacturer Model Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_IntegratedSupplierMsg,19/10/2016,Line items should not have service item(s)
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Autosave_Return_Confirmation,13/10/2016,The application found unsaved changes from a previous session. Do you want to retain or discard the previous changes?
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AutoSaveSuccessMessage,13/10/16,Your changes are saved automatically.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Exelon,28-10-2016 11:37,Exelon
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Product,28-10-2016 11:37,Product
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CustomerSegment,28-10-2016 11:37,Customer Segment
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CompanyCode,11-04-2016 11:37,Company Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CostCenter,11-04-2016 11:37,Cost Center
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RejectChangeRequestSuccessfully,07/11/2016,Reject Change Request Successfully
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileRejectChangeRequest,07/11/2016,Error Occured While Reject ChangeRequest
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_SectionLabel,10/11/2016,Charges And Allowances
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_SublinelineNumber,10/11/2016,Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_ChargeName,10/11/2016,Charge Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_ChargeDescription,10/11/2016,Description
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_ChargeAmount,10/11/2016, Amount (USD)
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_EditableOnInvoice,10/11/2016,Editable on Invoice
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_IsAllowance,10/11/2016,Is Allowance
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_ChargeTypeName,10/11/2016,Charge Type Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_TolerancePercentage,10/11/2016,Tolerance Percent
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChargeForHeader_AdditionInfo,10/11/2016,Additional Information
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeOrderType,15/11/2016,Change Order Type
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InternalChangeOrderValidationMessage,10/11/2016,You are changing a critical attribute such as price on the change order. The Change Order Type will be set to External.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Save,10/11/2016,SAVE
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_FINALIZE,10/11/2016,FINALIZE
